feature1,feature2,feature3,feature4,feature5,feature6,agent1,agent2,target
120,20,324,424,522,60,51,51,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,98
120,20,324,424,522,60,98,51,99
120,20,324,424,522,60,99,98,51
120,20,324,424,522,60,51,99,98
120,20,324,424,522,60,98,51,51
120,20,324,424,522,60,51,98,51
120,20,324,424,522,60,51,51,100
120,20,324,424,522,60,100,51,101
120,20,324,424,522,60,101,100,51
120,20,324,424,522,60,51,101,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,92
120,20,324,424,522,60,92,51,92
120,20,324,424,522,60,92,92,51
120,20,324,424,522,60,51,92,51
120,20,324,424,522,60,51,51,97
120,20,324,424,522,60,97,51,99
120,20,324,424,522,60,99,97,97
120,20,324,424,522,60,97,99,51
120,20,324,424,522,60,51,97,51
120,20,324,424,522,60,51,51,98
120,20,324,424,522,60,98,51,51
120,20,324,424,522,60,51,98,100
120,20,324,424,522,60,100,51,98
120,20,324,424,522,60,98,100,51
120,20,324,424,522,60,51,98,101
120,20,324,424,522,60,101,51,101
120,20,324,424,522,60,101,101,51
120,20,324,424,522,60,51,101,51
120,20,324,424,522,60,51,51,51
120,20,324,424,522,60,51,51,92
120,20,324,424,522,60,92,51,92
120,20,324,424,522,60,92,92,92
120,20,324,424,522,60,92,92,92
120,20,324,424,522,60,92,92,51
120,20,324,424,522,60,51,92,51
120,20,324,424,522,60,51,51,97
120,20,324,424,522,60,97,51,51
120,20,324,424,522,60,51,97,51
120,20,324,424,522,60,51,51,99
120,20,324,424,522,60,99,51,97
120,20,324,424,522,60,97,99,51
120,20,324,424,522,60,51,97,51
120,20,324,424,522,60,51,51,98
120,20,324,424,522,60,98,51,98
120,20,324,424,522,60,98,98,51
120,20,324,424,522,60,51,98,100
120,20,324,424,522,60,100,51,51
120,20,324,424,522,60,51,100,101
120,20,324,424,522,60,101,51,101
120,20,324,424,522,60,101,101,51
120,20,324,424,522,60,51,101,37
120,20,324,424,522,60,37,51,51
120,20,324,424,522,60,51,37,100
120,20,324,424,522,60,100,51,51
120,20,324,424,522,60,51,100,51
120,20,324,424,522,60,51,51,37
120,20,324,424,522,60,37,51,89
120,20,324,424,522,60,89,37,51
120,20,324,424,522,60,51,89,97
120,20,324,424,522,60,97,51,61
120,20,324,424,522,60,61,97,61
120,20,324,424,522,60,61,61,61
120,20,324,424,522,60,61,61,61
120,20,324,424,522,60,61,61,3
120,20,324,424,522,60,3,61,59
120,20,324,424,522,60,59,3,41
120,20,324,424,522,60,41,59,41
120,20,324,424,522,60,41,41,59
120,20,324,424,522,60,59,41,59
120,20,324,424,522,60,59,59,99
120,20,324,424,522,60,99,59,59
120,20,324,424,522,60,59,99,99
120,20,324,424,522,60,99,59,99
120,20,324,424,522,60,99,99,64
113,20,325,425,523,60,0,0,71
113,20,325,425,523,60,71,0,77
113,20,325,425,523,60,77,71,77
113,20,325,425,523,60,77,77,71
113,20,325,425,523,60,71,77,71
113,20,325,425,523,60,71,71,70
113,20,325,425,523,60,70,71,71
121,20,326,426,524,60,0,0,16
121,20,326,426,524,60,16,0,22
121,20,326,426,524,60,22,16,15
121,20,326,426,524,60,15,22,40
121,20,326,426,524,60,40,15,16
121,20,326,426,524,60,16,40,16
121,20,326,426,524,60,16,16,37
121,20,326,426,524,60,37,16,24
121,20,326,426,524,60,24,37,21
122,20,327,427,525,60,0,0,41
122,20,327,427,525,60,41,0,102
122,20,327,427,525,60,102,41,3
122,20,327,427,525,60,3,102,61
122,20,327,427,525,60,61,3,103
122,20,327,427,525,60,103,61,18
122,20,327,427,525,60,18,103,5
122,20,327,427,525,60,5,18,3
122,20,327,427,525,60,3,5,41
123,20,328,428,526,60,0,0,51
123,20,328,428,526,60,51,0,98
123,20,328,428,526,60,98,51,51
123,20,328,428,526,60,51,98,64
123,20,328,428,526,60,64,51,8
123,20,328,428,526,60,8,64,51
123,20,328,428,526,60,51,8,98
123,20,328,428,526,60,98,51,98
123,20,328,428,526,60,98,98,51
123,20,328,428,526,60,51,98,100
123,20,328,428,526,60,100,51,51
124,20,329,429,527,60,0,0,21
124,20,329,429,527,60,21,0,16
125,20,330,430,528,60,0,0,34
111,20,331,431,529,60,0,0,16
111,20,331,431,529,60,16,0,21
111,20,331,431,529,60,21,16,47
111,20,331,431,529,60,47,21,104
111,20,331,431,529,60,104,47,63
111,20,331,431,529,60,63,104,61
111,20,331,431,529,60,61,63,59
111,20,331,431,529,60,59,61,66
111,20,331,431,529,60,66,59,65
111,20,331,431,529,60,65,66,105
111,20,331,431,529,60,105,65,31
111,20,331,431,529,60,31,105,65
111,20,331,431,529,60,65,31,8
111,20,331,431,529,60,8,65,60
111,20,331,431,529,60,60,8,106
111,20,331,431,529,60,106,60,59
126,20,332,432,530,60,0,0,3
126,20,332,432,530,60,3,0,4
126,20,332,432,530,60,4,3,7
126,20,332,432,530,60,7,4,47
118,20,333,433,531,60,0,0,58
127,20,334,434,532,60,0,0,21
128,20,335,435,533,60,0,0,47
128,20,335,435,533,60,47,0,7
128,20,335,435,533,60,7,47,41
128,20,335,435,533,60,41,7,27
128,20,335,435,533,60,27,41,16
128,20,335,435,533,60,16,27,107
123,24,336,436,512,60,0,0,16
123,24,336,436,512,60,16,0,16
129,20,337,437,534,60,0,0,48
129,20,337,437,534,60,48,0,37
129,20,337,437,534,60,37,48,2
129,20,337,437,534,60,2,37,27
129,20,337,437,534,60,27,2,31
129,20,337,437,534,60,31,27,31
129,20,337,437,534,60,31,31,27
120,20,338,438,535,60,0,0,43
120,20,338,438,535,60,43,0,7
120,20,338,438,535,60,7,43,47
120,20,338,438,535,60,47,7,102
120,20,338,438,535,60,102,47,64
120,20,338,438,535,60,64,102,3
120,20,338,438,535,60,3,64,64
120,20,338,438,535,60,64,3,42
120,20,338,438,535,60,42,64,3
120,20,338,438,535,60,3,42,7
120,20,338,438,535,60,7,3,43
120,20,338,438,535,60,43,7,7
